gen,filename,PCE,donor
14,39_0_0,15.858293,PBCT-2F,
14,39_0_0,15.858293,PBCT-2F,
14,65_1_39,15.196061,PBB-F,
14,39_16_62,14.866965,PBB-F,
15,39_100_39,18.661747,PBCT-2F,
15,39_100_39,18.661747,PBCT-2F,
15,39_130_39,18.615218,PBCT-2F,
15,39_104_39,18.479242,PBCT-2F,
15,39_118_39,18.263954,PBCT-2F,
15,39_132_39,18.257990,PBCT-2F,
15,39_26_39,18.229216,PBCT-2F,
15,39_108_39,17.866924,PBCT-2F,
15,65_100_39,17.831325,PBCT-2F,
15,39_100_62,17.787624,PBCT-2F,
15,39_100_0,17.762161,PBCT-2F,
15,39_100_6,17.645229,PBCT-2F,
15,39_100_66,17.642550,PBCT-2F,
15,39_100_25,17.622541,PBCT-2F,
15,39_100_49,17.601564,PBCT-2F,
15,39_134_39,17.540764,PBCT-2F,
15,39_100_60,17.530303,PBCT-2F,
15,39_130_66,17.498561,PBCT-2F,
15,39_104_1,17.346209,PBCT-2F,
15,29_104_39,17.278984,PBCT-2F,
15,33_118_39,17.172666,PBCT-2F,
15,33_26_39,17.102194,PBCT-2F,
15,39_26_66,17.088309,PBCT-2F,
15,39_100_31,17.041330,PBCT-2F,
15,39_118_66,16.917884,PBCT-2F,
15,39_100_22,16.895030,PBCT-2F,
15,39_108_49,16.852558,PBCT-2F,
15,39_26_53,16.639414,PBCT-2F,
15,39_18_39,16.106083,PBCT-2F,
15,39_60_60,16.027165,PBCT-2F,
15,39_71_60,15.529286,PBCT-2F,
15,39_62_62,15.409301,PBCT-2F,
16,39_100_39,18.661747,PBCT-2F,
16,39_100_39,18.661747,PBCT-2F,
16,39_130_39,18.615218,PBCT-2F,
16,39_104_39,18.479242,PBCT-2F,
16,39_118_39,18.263954,PBCT-2F,
16,39_132_39,18.257990,PBCT-2F,
16,39_26_39,18.229216,PBCT-2F,
16,39_108_39,17.866924,PBCT-2F,
16,65_100_39,17.831325,PBCT-2F,
16,39_100_62,17.787624,PBCT-2F,
16,39_100_0,17.762161,PBCT-2F,
16,39_100_54,17.697637,PBCT-2F,
16,39_100_6,17.645229,PBCT-2F,
16,39_100_66,17.642550,PBCT-2F,
16,49_100_39,17.625133,PBCT-2F,
16,39_100_25,17.622541,PBCT-2F,
16,39_100_49,17.601564,PBCT-2F,
16,39_100_64,17.598514,PBCT-2F,
16,39_135_25,17.590073,PBCT-2F,
16,39_134_39,17.540764,PBCT-2F,
16,39_104_0,17.378321,PBCT-2F,
16,39_26_4,17.084174,PBCT-2F,
16,39_5_39,16.920910,PBCT-2F,
16,39_100_21,16.816148,PBCT-2F,
16,65_134_39,16.600243,PBCT-2F,
16,39_132_31,16.580920,PBCT-2F,
16,35_100_66,16.234832,PBCT-2F,
16,39_62_62,15.409301,PBCT-2F,
16,39_49_49,15.048015,PBB-F,
16,39_25_25,14.495489,PBB-F,
16,39_25_25,14.495489,PBB-F,
16,39_25_25,14.495489,PBB-F,
17,39_100_39,18.661747,PBCT-2F,
17,39_100_39,18.661747,PBCT-2F,
17,39_130_39,18.615218,PBCT-2F,
17,39_104_39,18.479242,PBCT-2F,
17,39_118_39,18.263954,PBCT-2F,
17,39_132_39,18.257990,PBCT-2F,
17,39_26_39,18.229216,PBCT-2F,
17,39_108_39,17.866924,PBCT-2F,
17,65_100_39,17.831325,PBCT-2F,
17,39_100_62,17.787624,PBCT-2F,
17,39_100_0,17.762161,PBCT-2F,
17,39_100_54,17.697637,PBCT-2F,
17,39_100_6,17.645229,PBCT-2F,
17,39_100_66,17.642550,PBCT-2F,
17,49_100_39,17.625133,PBCT-2F,
17,39_100_25,17.622541,PBCT-2F,
17,39_100_56,17.554315,PBCT-2F,
17,39_100_1,17.530563,PBCT-2F,
17,39_104_66,17.404425,PBCT-2F,
17,39_60_39,17.179034,PBCT-2F,
17,39_118_46,17.072784,PBCT-2F,
17,39_100_53,17.047328,PBCT-2F,
17,39_100_31,17.041330,PBCT-2F,
17,39_132_38,17.002430,PBCT-2F,
17,39_132_10,16.994317,PBCT-2F,
17,32_108_39,16.822985,PBCT-2F,
17,15_100_62,16.504542,PBCT-2F,
17,39_1_39,16.144096,PBB-F,
17,22_100_0,15.806159,PBCT-2F,
17,39_120_25,15.670937,PBCT-2F,
17,39_49_62,15.233619,PBCT-2F,
17,39_6_6,14.581394,PBB-F,
18,39_100_39,18.661747,PBCT-2F,
18,39_100_39,18.661747,PBCT-2F,
18,39_130_39,18.615218,PBCT-2F,
18,39_104_39,18.479242,PBCT-2F,
18,39_118_39,18.263954,PBCT-2F,
18,39_132_39,18.257990,PBCT-2F,
18,39_26_39,18.229216,PBCT-2F,
18,39_108_39,17.866924,PBCT-2F,
18,65_100_39,17.831325,PBCT-2F,
18,39_100_62,17.787624,PBCT-2F,
18,39_100_0,17.762161,PBCT-2F,
18,39_100_54,17.697637,PBCT-2F,
18,39_100_6,17.645229,PBCT-2F,
18,39_100_66,17.642550,PBCT-2F,
18,49_100_39,17.625133,PBCT-2F,
18,39_100_25,17.622541,PBCT-2F,
18,39_100_56,17.554315,PBCT-2F,
18,39_100_60,17.530303,PBCT-2F,
18,39_100_4,17.430196,PBCT-2F,
18,39_100_38,17.378662,PBCT-2F,
18,39_100_42,17.323353,PBCT-2F,
18,39_100_41,17.289329,PBCT-2F,
18,39_118_6,17.282080,PBCT-2F,
18,39_104_61,17.191126,PBCT-2F,
18,39_100_5,16.916397,PBCT-2F,
18,39_108_0,16.871256,PBCT-2F,
18,65_26_62,16.305731,PBCT-2F,
18,39_39_39,16.126517,PBCT-2F,
18,20_100_54,15.703850,PBCT-2F,
18,65_39_39,15.114761,PBCT-2F,
18,39_93_0,14.723942,PBB-F,
18,39_54_54,14.628177,PBB-F,
19,39_100_39,18.661747,PBCT-2F,
19,39_100_39,18.661747,PBCT-2F,
19,39_130_39,18.615218,PBCT-2F,
19,39_104_39,18.479242,PBCT-2F,
19,39_118_39,18.263954,PBCT-2F,
19,39_132_39,18.257990,PBCT-2F,
19,39_26_39,18.229216,PBCT-2F,
19,39_108_39,17.866924,PBCT-2F,
19,65_100_39,17.831325,PBCT-2F,
19,39_100_62,17.787624,PBCT-2F,
19,39_100_0,17.762161,PBCT-2F,
19,39_100_54,17.697637,PBCT-2F,
19,39_100_6,17.645229,PBCT-2F,
19,39_100_66,17.642550,PBCT-2F,
19,49_100_39,17.625133,PBCT-2F,
19,39_100_25,17.622541,PBCT-2F,
19,49_104_39,17.534532,PBCT-2F,
19,39_100_32,17.514661,PBCT-2F,
19,39_26_12,17.083828,PBCT-2F,
19,39_100_7,17.033063,PBCT-2F,
19,39_108_62,16.964460,PBCT-2F,
19,65_100_66,16.898013,PBCT-2F,
19,39_100_51,16.880135,PBCT-2F,
19,49_100_25,16.808207,PBCT-2F,
19,25_100_66,16.753310,PBCT-2F,
19,39_118_22,16.483610,PBCT-2F,
19,39_108_16,16.168162,PBCT-2F,
19,20_100_62,16.054451,PBCT-2F,
19,39_0_0,15.858293,PBCT-2F,
19,39_9_39,15.701461,PBCT-2F,
19,39_73_54,15.212557,PBB-F,
19,49_66_66,14.293274,PBCT-2F,
20,39_100_39,18.661747,PBCT-2F,
20,39_100_39,18.661747,PBCT-2F,
20,39_130_39,18.615218,PBCT-2F,
20,39_104_39,18.479242,PBCT-2F,
20,39_118_39,18.263954,PBCT-2F,
20,39_132_39,18.257990,PBCT-2F,
20,39_26_39,18.229216,PBCT-2F,
20,39_108_39,17.866924,PBCT-2F,
20,65_100_39,17.831325,PBCT-2F,
20,39_100_62,17.787624,PBCT-2F,
20,39_100_0,17.762161,PBCT-2F,
20,39_100_54,17.697637,PBCT-2F,
20,39_100_6,17.645229,PBCT-2F,
20,39_100_66,17.642550,PBCT-2F,
20,49_100_39,17.625133,PBCT-2F,
20,39_100_25,17.622541,PBCT-2F,
20,39_100_9,17.581769,PBCT-2F,
20,39_104_6,17.519802,PBCT-2F,
20,39_130_6,17.484933,PBCT-2F,
20,39_100_11,17.276219,PBCT-2F,
20,65_100_65,17.165983,PBCT-2F,
20,39_26_54,17.144821,PBCT-2F,
20,39_113_0,16.893981,PBCT-2F,
20,39_100_51,16.880135,PBCT-2F,
20,39_108_4,16.526474,PBCT-2F,
20,49_100_54,16.475920,PBCT-2F,
20,39_8_39,16.156027,PBCT-2F,
20,39_20_6,14.961775,PBCT-2F,
20,39_93_25,14.776431,PBCT-2F,
20,49_72_39,14.573955,PBB-F,
20,39_25_25,14.495489,PBB-F,
20,39_25_25,14.495489,PBB-F,
21,39_100_39,18.661747,PBCT-2F,
