donor,best PCE
100_339_011011,18.197768
100_257_101100,18.197476
185_61_011100,18.193601
905_61_110001,18.191478
185_5_011010,18.186296
655_61_011010,18.184167
121_61_100101,18.183977
824_5_110100,18.181944
1050_1026_100111,18.180052
184_61_001110,18.17914
1023_61_100111,18.177487
577_61_100001,18.177063
121_61_011010,18.17612
121_1001_101111,18.172289
1050_1125_111011,18.169748
185_61_001011,18.167017
687_99_110000,18.166658
327_61_011101,18.162563
576_872_100111,18.161497
1118_61_101010,18.15928
235_61_110100,18.159276
920_61_010100,18.156857
49_6_100101,18.156782
260_126_100111,18.154575
1050_722_010111,18.152562
576_99_010000,18.151348
1050_99_001000,18.146837
1050_61_000011,18.142596
49_6_110100,18.140492
687_61_100110,18.138421
184_61_011100,18.137835
49_6_000011,18.136934
112_555_101111,18.133863
824_61_001001,18.129471
49_6_010001,18.129303
1118_61_001011,18.125496
100_642_101111,18.122423
905_61_110100,18.122055
824_153_110111,18.121504
17_61_011000,18.119027
100_235_001111,18.117882
121_61_000111,18.117846
920_99_000010,18.116629
184_61_100011,18.114623
674_6_011110,18.111641
824_61_000011,18.111223
100_1054_100101,18.107612
100_388_111101,18.107013
121_61_100001,18.105326
751_61_010010,18.104802
121_61_010110,18.101724
100_1041_101111,18.100501
121_61_010101,18.097859
824_61_010100,18.096758
934_61_011000,18.095229
577_61_110000,18.095036
1050_99_000100,18.094914
1050_316_111101,18.093003
920_99_001000,18.090211
674_6_010111,18.089824
121_61_001011,18.088923
687_61_111000,18.087425
674_6_101110,18.087405
121_61_001101,18.085738
121_61_010001,18.08374
17_61_100010,18.082139
1024_731_110011,18.081781
121_156_110111,18.079135
185_435_101111,18.074808
934_61_101000,18.07419
49_6_101100,18.065164
100_642_100111,18.064094
121_1093_111011,18.062797
576_531_100111,18.060861
959_61_010001,18.055729
959_61_100110,18.054729
112_61_001001,18.054476
988_6_100111,18.050051
49_6_010011,18.049267
687_1043_111011,18.04841
934_339_001111,18.047941
1050_992_111011,18.047783
1118_61_000110,18.047069
100_1202_101100,18.039021
674_6_111011,18.037698
383_99_001110,18.03655
184_289_111011,18.035662
100_733_101010,18.034658
121_61_101000,18.034293
17_1173_111011,18.031001
383_99_100011,18.030628
687_989_001111,18.029002
824_5_010010,18.028026
1050_618_111011,18.027356
121_61_011100,18.018312
824_61_000110,18.011945
49_6_111011,17.99943
959_61_110001,17.996637
959_61_110100,17.996225
576_99_000100,17.995207
383_99_010010,17.991672
1208_6_111111,17.986159
1019_6_111111,17.986159
1194_6_111111,17.986159
905_6_111111,17.986159
121_6_111111,17.986159
1050_62_001111,17.981954
1118_61_101000,17.981779
100_532_111010,17.981401
100_1188_101111,17.976962
100_219_110011,17.975616
550_6_110011,17.975207
751_61_100100,17.97441
824_61_011000,17.97195
100_784_100101,17.970889
569_61_110110,17.968825
934_949_001111,17.967706
260_89_100111,17.966976
674_6_110001,17.965099
100_665_001110,17.960144
577_61_001101,17.959008
1194_6_101110,17.955518
121_61_100010,17.951159
959_61_101001,17.950472
751_61_001010,17.947425
920_99_100000,17.94276
1050_61_010000,17.942482
185_61_000101,17.936307
687_61_000011,17.935401
920_729_111001,17.932144
100_600_111101,17.931986
674_6_110011,17.9315
100_368_111101,17.930551
988_6_110111,17.929543
100_701_100011,17.928637
253_61_110001,17.926984
260_1044_100111,17.92441
100_78_110011,17.920634
17_61_100001,17.918599
1050_97_111011,17.917173
121_61_000101,17.913337
100_503_100111,17.913037
1050_61_000001,17.911274
121_61_001001,17.911046
934_61_010100,17.910509
