gen,filename,PCE,donor
29,39_28_130_100_1,17.646723,PBB-F
59,39_28_127_28_45,17.643199,PBB-F
43,62_28_130_130_62,17.61399,PBB-F
98,39_130_130_138_65,17.607675,PBB-F
27,65_130_130_28_65,17.603037,PBB-F
43,39_130_130_161_0,17.595351,PBB-F
60,39_28_127_28_14,17.590522,PBB-F
26,65_28_130_130_65,17.586916,PBB-F
27,9_28_130_158_39,17.582689,PBB-F
98,39_28_127_28_52,17.547729,PBB-F
68,39_28_127_28_13,17.541071,PBB-F
29,9_130_130_28_9,17.529078,PBB-F
21,9_28_130_28_9,17.519515,PBB-F
28,9_28_130_130_9,17.51813,PBB-F
31,1_130_130_130_1,17.503851,PBB-F
20,65_28_130_28_9,17.499812,PBB-F
47,39_153_30_28_39,17.495628,PBB-F
23,1_28_130_167_39,17.493851,PBB-F
78,39_130_130_122_37,17.493091,PBB-F
18,65_28_130_28_65,17.482143,PBB-F
25,0_28_130_130_0,17.468303,PBB-F
77,39_130_130_59_4,17.465908,PBB-F
26,0_130_130_28_0,17.457222,PBB-F
76,39_28_130_93_63,17.447088,PBB-F
32,39_28_13_158_39,17.444539,PBB-F
24,66_28_130_28_65,17.438201,PBB-F
38,29_130_130_130_29,17.436595,PBB-F
18,9_28_130_28_65,17.43517,PBB-F
24,65_28_130_28_0,17.429455,PBB-F
16,64_28_130_28_65,17.423918,PBB-F
73,39_130_130_40_52,17.414769,PBB-F
38,39_130_130_81_32,17.406204,PBB-F
22,9_28_130_28_64,17.404813,PBB-F
17,65_28_130_28_64,17.398126,PBB-F
45,39_130_130_160_46,17.397774,PBB-F
43,39_130_130_144_27,17.396276,PBB-F
59,39_28_130_155_20,17.376653,PBB-F
29,39_130_130_123_38,17.371892,PBB-F
73,55_28_130_130_55,17.36765,PBB-F
51,39_28_130_65_62,17.35927,PBB-F
75,49_28_130_130_49,17.358479,PBB-F
17,65_28_130_28_1,17.357457,PBB-F
22,65_28_130_28_66,17.355582,PBB-F
22,64_28_130_28_0,17.355537,PBB-F
62,39_3_93_28_39,17.353115,PBB-F
21,64_28_130_28_9,17.34339,PBB-F
94,1_28_130_130_1,17.34103,PBB-F
19,47_28_130_28_65,17.337936,PBB-F
15,1_28_130_28_65,17.335173,PBB-F
57,39_28_130_158_35,17.334519,PBB-F
61,39_28_130_100_68,17.333329,PBB-F
21,33_28_130_28_64,17.323336,PBB-F
55,63_28_130_130_63,17.320303,PBB-F
20,64_28_130_28_29,17.318864,PBB-F
17,0_28_130_28_64,17.315271,PBB-F
57,60_28_130_28_60,17.308244,PBB-F
32,63_130_130_28_63,17.306472,PBB-F
99,49_130_130_28_49,17.301345,PBB-F
78,27_130_130_28_27,17.300228,PBB-F
53,30_130_130_130_30,17.290433,PBB-F
35,39_130_130_104_0,17.286482,PBB-F
27,9_28_130_28_44,17.286133,PBB-F
21,1_28_130_28_1,17.280111,PBB-F
31,39_28_130_97_47,17.275313,PBB-F
49,39_130_130_162_55,17.274975,PBB-F
79,39_130_130_40_67,17.271234,PBB-F
26,1_28_52_28_39,17.270657,PBB-F
19,64_28_130_28_33,17.263395,PBB-F
96,39_28_130_166_34,17.26025,PBB-F
22,4_28_130_28_65,17.258435,PBB-F
45,39_130_130_96_9,17.255414,PBB-F
28,9_28_130_28_29,17.253758,PBB-F
68,66_28_130_28_66,17.253184,PBB-F
91,55_28_130_28_55,17.252125,PBB-F
18,64_28_130_28_64,17.250256,PBB-F
72,39_28_130_53_42,17.247806,PBB-F
26,26_28_130_28_65,17.243668,PBB-F
19,29_28_130_28_29,17.229861,PBB-F
21,65_28_130_28_10,17.217979,PBB-F
19,29_28_130_28_64,17.216431,PBB-F
82,39_130_130_136_61,17.215794,PBB-F
22,33_28_130_28_33,17.205776,PBB-F
36,39_130_130_81_61,17.205588,PBB-F
77,39_130_130_162_44,17.202076,PBB-F
61,39_130_130_13_42,17.195558,PBB-F
21,64_28_130_28_54,17.194505,PBB-F
34,39_28_130_152_7,17.193265,PBB-F
30,65_28_104_28_39,17.192977,PBB-F
100,44_28_130_130_44,17.182352,PBB-F
100,56_28_130_28_56,17.17718,PBB-F
22,54_28_130_28_1,17.174143,PBB-F
29,46_28_130_28_46,17.162356,PBB-F
59,39_28_122_99_39,17.160406,PBB-F
54,39_99_46_28_39,17.151381,PBB-F
38,39_130_130_138_42,17.148449,PBB-F
88,39_28_130_24_4,17.1469,PBB-F
57,39_130_130_89_59,17.145238,PBB-F
50,10_130_130_28_10,17.144254,PBB-F
20,65_28_130_28_47,17.141227,PBB-F
75,39_28_130_16_56,17.13907,PBB-F
58,12_28_130_130_12,17.138682,PBB-F
88,20_130_130_130_20,17.138324,PBB-F
26,66_28_130_28_60,17.134373,PBB-F
97,39_130_130_124_17,17.131378,PBB-F
75,39_130_130_21_5,17.130851,PBB-F
71,39_130_130_65_45,17.130037,PBB-F
69,39_28_130_80_10,17.1243,PBB-F
28,12_130_130_28_12,17.123315,PBB-F
48,49_28_130_28_49,17.119983,PBB-F
20,29_28_130_28_4,17.112723,PBB-F
24,39_28_16_28_1,17.111863,PBB-F
24,64_28_130_28_47,17.107879,PBB-F
56,65_130_127_28_65,17.103957,PBB-F
23,37_28_130_28_64,17.096137,PBB-F
66,39_130_130_134_29,17.09246,PBB-F
22,64_28_130_2_39,17.079632,PBB-F
69,39_130_130_162_68,17.076258,PBB-F
92,39_130_130_23_10,17.074784,PBB-F
30,18_28_130_28_65,17.065907,PBB-F
25,30_28_130_28_30,17.065123,PBB-F
42,39_28_16_50_39,17.062782,PBB-F
36,39_28_93_15_39,17.060184,PBB-F
85,39_28_130_136_58,17.059581,PBB-F
42,39_130_130_24_22,17.055979,PBB-F
81,11_130_130_130_11,17.05171,PBB-F
48,39_130_130_33_23,17.04562,PBB-F
30,39_153_122_28_39,17.040535,PBB-F
87,39_130_130_73_34,17.040441,PBB-F
48,39_130_130_88_43,17.038195,PBB-F
42,39_130_130_113_16,17.020728,PBB-F
53,28_28_130_28_28,16.982262,PBB-F
70,20_130_130_28_20,16.975002,PBB-F
100,39_130_130_154_51,16.961385,PBB-F
63,39_130_130_128_19,16.957414,PBB-F
90,39_28_130_36_35,16.956441,PBB-F
58,39_156_97_28_39,16.952977,PBB-F
28,39_28_130_114_8,16.950376,PBB-F
21,1_28_130_28_42,16.944912,PBB-F
21,47_28_130_28_47,16.927483,PBB-F
24,65_28_127_28_65,16.92513,PBB-F
25,64_28_130_28_50,16.912486,PBB-F
95,39_28_130_111_52,16.911935,PBB-F
30,39_153_97_28_39,16.889905,PBB-F
50,39_130_130_104_14,16.871482,PBB-F
20,65_28_130_3_9,16.871168,PBB-F
44,39_130_130_98_38,16.857329,PBB-F
66,65_130_129_130_65,16.843562,PBB-F
56,39_28_130_1_10,16.83914,PBB-F
51,39_28_130_157_42,16.835166,PBB-F
23,33_28_130_28_2,16.83089,PBB-F
23,65_28_127_28_64,16.826673,PBB-F
25,65_28_130_57_65,16.826658,PBB-F
33,39_131_130_131_65,16.825466,PBB-F
19,9_15_130_28_65,16.82071,PBB-F
19,64_28_130_3_65,16.817588,PBB-F
32,39_28_130_84_35,16.815673,PBB-F
20,1_28_130_3_65,16.813575,PBB-F
39,39_28_16_7_39,16.813559,PBB-F
52,45_130_130_28_45,16.811668,PBB-F
18,9_28_130_15_65,16.801346,PBB-F
19,65_15_130_28_9,16.794812,PBB-F
53,39_28_80_99_39,16.79393,PBB-F
46,52_130_130_28_52,16.788373,PBB-F
14,65_15_130_28_65,16.784481,PBB-F
76,44_130_127_130_44,16.768156,PBB-F
16,64_28_130_15_0,16.75909,PBB-F
99,39_28_130_110_38,16.750715,PBB-F
58,39_28_130_23_23,16.749389,PBB-F
20,65_28_130_15_64,16.726963,PBB-F
63,39_33_129_33_39,16.726684,PBB-F
32,65_158_130_158_39,16.726058,PBB-F
44,40_28_130_130_40,16.724932,PBB-F
26,9_28_130_167_9,16.724378,PBB-F
91,67_28_130_130_67,16.724115,PBB-F
60,39_28_130_150_67,16.724061,PBB-F
18,29_3_130_28_64,16.721776,PBB-F
18,64_15_130_28_0,16.715477,PBB-F
24,65_167_130_28_9,16.708035,PBB-F
69,60_3_130_130_60,16.703127,PBB-F
45,39_130_130_58_23,16.701346,PBB-F
25,7_28_130_28_7,16.690303,PBB-F
95,44_130_130_3_44,16.679494,PBB-F
24,9_28_130_78_9,16.669918,PBB-F
60,29_130_130_6_29,16.661855,PBB-F
23,0_28_130_28_16,16.648643,PBB-F
69,46_28_127_130_46,16.641414,PBB-F
83,34_28_130_28_34,16.640844,PBB-F
27,65_28_130_167_1,16.638849,PBB-F
51,54_130_127_28_54,16.633528,PBB-F
18,33_28_130_15_33,16.61084,PBB-F
28,65_28_130_113_65,16.610621,PBB-F
81,2_130_130_28_2,16.608768,PBB-F
22,65_28_130_22_65,16.601707,PBB-F
30,1_130_130_50_1,16.594968,PBB-F
50,18_28_130_130_18,16.586614,PBB-F
19,0_28_130_0_0,16.584594,PBB-F
83,61_130_127_130_61,16.582904,PBB-F
34,29_130_130_158_29,16.575786,PBB-F
69,30_28_127_28_30,16.559901,PBB-F
43,9_130_130_21_9,16.558506,PBB-F
63,59_130_127_130_59,16.557439,PBB-F
32,39_158_130_158_44,16.55131,PBB-F
40,60_78_130_130_60,16.548148,PBB-F
28,33_158_130_28_9,16.539127,PBB-F
94,32_130_127_3_32,16.52999,PBB-F
98,4_127_130_130_4,16.52151,PBB-F
33,65_130_130_24_65,16.51561,PBB-F
19,1_15_130_28_1,16.512672,PBB-F
57,37_130_127_130_37,16.510281,PBB-F
19,29_15_130_28_29,16.50718,PBB-F
15,29_28_130_15_29,16.507001,PBB-F
24,0_28_130_78_0,16.498042,PBB-F
51,57_130_130_130_57,16.492702,PBB-F
52,64_130_33_130_64,16.476529,PBB-F
43,30_28_130_43_30,16.464611,PBB-F
78,39_82_39,16.460165,PBB-F
27,66_28_130_99_27,16.458091,PBB-F
26,65_28_130_92_65,16.446898,PBB-F
21,1_28_140_28_65,16.440628,PBB-F
42,2_28_130_28_2,16.437984,PBB-F
26,65_130_130_120_61,16.437236,PBB-F
19,1_28_130_3_35,16.42775,PBB-F
38,39_158_130_158_4,16.427113,PBB-F
28,65_90_130_130_65,16.426616,PBB-F
96,17_28_127_130_17,16.426518,PBB-F
73,39_28_130_66_16,16.425007,PBB-F
39,39_132_130_166_42,16.423144,PBB-F
32,27_130_130_158_27,16.42009,PBB-F
23,9_28_130_7_65,16.380678,PBB-F
25,33_28_130_167_64,16.380012,PBB-F
57,24_130_130_28_24,16.36919,PBB-F
29,65_145_130_130_65,16.364919,PBB-F
25,65_28_130_41_65,16.352843,PBB-F
26,0_93_130_28_0,16.34469,PBB-F
22,64_28_129_28_64,16.343647,PBB-F
94,53_130_130_100_53,16.337507,PBB-F
26,64_28_130_24_9,16.336837,PBB-F
21,65_28_130_90_65,16.330542,PBB-F
32,60_28_130_158_60,16.32728,PBB-F
21,29_28_57_28_29,16.325306,PBB-F
74,37_3_130_130_37,16.324878,PBB-F
39,32_130_130_132_32,16.318574,PBB-F
26,9_28_62_28_9,16.314649,PBB-F
31,65_28_130_140_47,16.305191,PBB-F
20,64_28_130_154_63,16.300031,PBB-F
81,58_130_130_3_58,16.298762,PBB-F
36,22_130_130_28_22,16.296831,PBB-F
96,43_50_130_130_43,16.294237,PBB-F
22,65_28_130_113_61,16.28248,PBB-F
74,7_28_127_130_7,16.27581,PBB-F
87,20_50_130_130_20,16.2757,PBB-F
22,64_28_130_93_64,16.272428,PBB-F
65,39_130_127_134_53,16.27135,PBB-F
83,45_3_130_130_45,16.261068,PBB-F
44,30_130_33_130_30,16.254502,PBB-F
56,29_43_130_130_29,16.247289,PBB-F
20,29_28_167_28_29,16.23819,PBB-F
21,65_28_130_154_7,16.230323,PBB-F
26,65_28_59_28_9,16.229241,PBB-F
94,50_130_130_100_50,16.213697,PBB-F
49,53_28_127_130_53,16.210039,PBB-F
21,29_28_130_123_29,16.209226,PBB-F
31,15_130_130_90_15,16.198439,PBB-F
19,1_28_94_28_65,16.197182,PBB-F
23,9_28_144_28_65,16.190131,PBB-F
21,65_3_130_3_47,16.188643,PBB-F
22,1_28_143_28_1,16.184373,PBB-F
30,56_93_130_93_39,16.174251,PBB-F
72,8_28_127_28_8,16.169015,PBB-F
23,65_28_130_68_14,16.147804,PBB-F
24,65_28_16_28_64,16.146584,PBB-F
67,1_43_130_130_1,16.142723,PBB-F
91,7_130_130_43_7,16.135667,PBB-F
18,64_28_54_28_65,16.13032,PBB-F
30,12_28_130_158_12,16.129865,PBB-F
41,17_78_130_130_17,16.115846,PBB-F
72,44_43_130_130_44,16.10473,PBB-F
21,29_28_130_89_36,16.086261,PBB-F
16,65_15_130_15_33,16.071647,PBB-F
54,39_98_39,16.070902,PBB-F
40,39_158_130_158_31,16.065827,PBB-F
38,50_130_130_158_50,16.056284,PBB-F
31,39_90_130_90_56,16.046098,PBB-F
22,33_28_130_63_27,16.039033,PBB-F
36,39_10_39,16.022823,PBB-F
29,39_90_130_90_28,16.020652,PBB-F
24,65_28_130_41_43,16.017422,PBB-F
25,66_28_138_28_66,16.017393,PBB-F
17,65_117_130_15_65,16.013676,PBB-F
11,65_133_130_34_65,16.003741,PBB-F
31,41_28_130_158_41,16.002664,PBB-F
99,12_127_130_127_12,15.997976,PBB-F
19,65_28_130_98_65,15.995646,PBB-F
66,39_80_39,15.992959,PBB-F
99,22_127_130_130_22,15.991224,PBB-F
