wavelength,1.5 AM irrandiance,Normalized 1.5AM
1031,0.64799,4.52E-01
1032,0.64852,4.52E-01
1033,0.63751,4.44E-01
1034,0.64136,4.47E-01
1035,0.64348,4.48E-01
1036,0.64323,4.48E-01
1037,0.63664,4.44E-01
1038,0.63361,4.42E-01
1039,0.63802,4.45E-01
1040,0.63366,4.42E-01
1041,0.63379,4.42E-01
1042,0.63406,4.42E-01
1043,0.62773,4.38E-01
1044,0.63067,4.40E-01
1045,0.62712,4.37E-01
1046,0.61078,4.26E-01
1047,0.62008,4.32E-01
1048,0.62559,4.36E-01
1049,0.62206,4.34E-01
1050,0.61802,4.31E-01
1051,0.61862,4.31E-01
1052,0.61487,4.29E-01
1053,0.61302,4.27E-01
1054,0.61048,4.25E-01
1055,0.61242,4.27E-01
1056,0.61055,4.26E-01
1057,0.6091,4.25E-01
1058,0.60286,4.20E-01
1059,0.58453,4.07E-01
1060,0.60073,4.19E-01
1061,0.58694,4.09E-01
1062,0.59782,4.17E-01
1063,0.58815,4.10E-01
1064,0.59722,4.16E-01
1065,0.59461,4.14E-01
1066,0.5833,4.07E-01
1067,0.58637,4.09E-01
1068,0.58561,4.08E-01
1069,0.55428,3.86E-01
1070,0.57178,3.99E-01
1071,0.58304,4.06E-01
1072,0.58194,4.06E-01
1073,0.57086,3.98E-01
1074,0.5878,4.10E-01
1075,0.56054,3.91E-01
1076,0.58141,4.05E-01
1077,0.57175,3.98E-01
1078,0.57076,3.98E-01
1079,0.5721,3.99E-01
1080,0.56519,3.94E-01
1081,0.54973,3.83E-01
1082,0.55773,3.89E-01
1083,0.56603,3.95E-01
1084,0.54775,3.82E-01
1085,0.56163,3.91E-01
1086,0.52496,3.66E-01
1087,0.53685,3.74E-01
1088,0.56159,3.91E-01
1089,0.54856,3.82E-01
1090,0.52656,3.67E-01
1091,0.55722,3.88E-01
1092,0.55048,3.84E-01
1093,0.48417,3.37E-01
1094,0.5112,3.56E-01
1095,0.49363,3.44E-01
1096,0.47731,3.33E-01
1097,0.54805,3.82E-01
1098,0.47709,3.33E-01
1099,0.48161,3.36E-01
1100,0.46113,3.21E-01
1101,0.47169,3.29E-01
1102,0.44513,3.10E-01
1103,0.44291,3.09E-01
1104,0.44412,3.10E-01
1105,0.48065,3.35E-01
1106,0.3784,2.64E-01
1107,0.45866,3.20E-01
1108,0.39517,2.75E-01
1109,0.39249,2.74E-01
1110,0.45496,3.17E-01
1111,0.31572,2.20E-01
1112,0.3933,2.74E-01
1113,0.25599,1.78E-01
1114,0.28576,1.99E-01
1115,0.23833,1.66E-01
1116,0.19223,1.34E-01
1117,0.076164,5.31E-02
1118,0.20763,1.45E-01
1119,0.10821,7.54E-02
1120,0.13562,9.45E-02
1121,0.17753,1.24E-01
