,smi_filename,smiles,sTDDFTxtb_HOMO,B3LYP_HOMO,A_or_D
137,258_C,c1cc2c(c3cc(F)c(OCC)c(F)c3)c3c(c(c4cc(c(OCC)c(c4)F)F)c2s1)cc(s3),-14.045,-5.714165,D
138,261_C,c1cc(C(=O)O)c(s1),-15.278,-6.622886,A
139,262_C,c1sc2cc(sc2c1),-14.287,-5.892519,D
140,263_C,c1cc2c(c3cc(Cl)c([Si](CC)(CC)CC)s3)c3c(c(c4sc([Si](CC)(CC)CC)c(c4)Cl)c2s1)cc(s3),-13.685,-5.448845,D
141,264_C,c1nc2c(c3ccc(CC)s3)c3c(c(c4ccc(CC)s4)c2s1)nc(s3),-13.607,-5.391359,D
142,265_C,c1cc2c(c3c1nn(CC)n3)cc(c1nn(CC)nc21),-15.106,-6.496122,D
143,266_C,c1cc2sc3c(c4cc(Cl)c(CC)s4)c4c(c(c5sc(CC)c(c5)Cl)c3c2s1)sc1cc(sc41),-13.617,-5.398729,D
144,267_C,c1c(SCC)c(SCC)c(c2c1C(=O)c1c(C2=O)csc1),-14.837,-6.297869,D
145,268_C,c1c(CC)c2sc3-c4cc5C(c6ccc(CC)cc6)(c6ccc(CC)cc6)c6c(-c5cc4C(c4ccc(CC)cc4)(c4ccc(CC)cc4)c3c2s1)sc1c(CC)c(sc61),-13.328,-5.185736,D
146,26_C,c1cc2sc3-c4cc5C(c6ccc(CC)cc6)(c6ccc(CC)cc6)c6c(-c5cc4C(c4ccc(CC)cc4)(c4ccc(CC)cc4)c3c2s1)sc1cc(sc61),-13.399,-5.238063,D
147,270_C,c1cc2c(c3cccc(SCC)c3)c3c(c(c4cccc(SCC)c4)c2s1)cc(s3),-13.988,-5.672156,D
148,271_C,c1cc2c(c3cc(OCC)c(Cl)s3)c3c(c(c4cc(OCC)c(s4)Cl)c2s1)cc(s3),-13.568,-5.362616,D
149,273_C,c1cc2c(c3cc(CC)c(Cl)s3)c3c(c(c4cc(CC)c(s4)Cl)c2s1)cc(s3),-13.703,-5.462111,D
150,276_C,C1C=C2SC3C(c4cc(CC)c(CC)s4)=c4c(=C(c5cc(CC)c(s5)CC)C3=C2S1)sc1cc(sc41),-12.825,-4.815025,D
151,277_C,c1ccc2C(C(=O)N(C)c2c1)=C1C(=O)N(C)c2cc(ccc12),-14.448,-6.011176,D
