gen,filename,PCE,acceptor
7,674_6_110011,17.931500,39_28_86_28_39,
7,112_6_110011,17.903275,39_28_86_28_39,
7,452_6_110011,17.853601,39_28_86_28_39,
7,49_6_000010,17.775721,39_28_86_15_39,
7,112_6_100111,17.729860,39_28_86_28_39,
7,1194_6_110101,17.567749,39_28_86_15_39,
7,112_6_101110,17.543933,39_28_86_28_39,
7,1019_6_111011,17.249998,39_28_86_15_39,
7,112_566_101110,16.906400,39_28_86_28_39,
7,121_786_101111,16.188802,39_126_39,
7,1019_6_110100,15.626369,39_3_86_28_39,
8,121_61_101111,19.228431,39_126_39,
8,121_61_110011,18.631152,39_126_39,
8,959_61_110011,18.625415,39_28_86_28_39,
8,1208_61_110001,18.399182,39_126_39,
8,674_6_110100,18.290472,39_28_86_28_39,
8,121_61_110001,18.243051,39_28_86_28_39,
8,905_61_110001,18.191478,39_126_39,
8,905_61_110100,18.122055,39_126_39,
8,674_6_101110,18.087405,39_28_86_28_39,
8,121_61_010001,18.083740,39_28_86_28_39,
8,959_61_010001,18.055729,39_3_86_28_39,
8,988_6_100111,18.050051,39_28_86_28_39,
8,49_6_111011,17.999430,39_28_86_28_39,
8,959_61_110001,17.996637,39_126_39,
8,959_61_110100,17.996225,39_50_86_28_39,
8,905_6_111111,17.986159,39_28_86_28_39,
8,121_6_111111,17.986159,39_28_86_28_39,
8,1208_6_110001,17.878524,39_28_86_28_39,
8,674_6_101001,17.878387,39_126_39,
8,1208_6_111011,17.833955,39_28_86_28_39,
8,905_472_111111,17.822094,39_3_86_28_39,
8,904_61_110001,17.781798,39_126_39,
8,905_6_011111,17.740005,39_28_86_28_39,
8,121_6_110011,17.657076,39_28_86_28_39,
8,905_6_110001,17.584100,39_28_86_28_39,
8,905_6_011110,17.574312,39_28_86_28_39,
8,905_6_001010,17.310106,39_28_86_28_39,
8,674_1205_101110,17.297378,39_28_86_28_39,
8,121_460_110100,17.147043,39_28_86_28_39,
8,959_6_110100,17.138714,39_28_86_28_39,
8,959_874_110100,16.841794,39_28_86_15_39,
8,959_827_010001,16.468584,39_3_86_28_39,
9,121_61_101111,19.228431,39_126_39,
9,121_61_101110,18.643448,39_126_39,
9,121_61_110011,18.631152,39_126_39,
9,959_61_110011,18.625415,39_28_86_28_39,
9,235_61_110001,18.430225,39_126_39,
9,1208_61_110001,18.399182,39_126_39,
9,121_61_110100,18.366023,39_28_86_28_39,
9,674_6_110100,18.290472,39_28_86_28_39,
9,959_61_010101,18.246947,39_126_39,
9,121_61_110001,18.243051,39_28_86_28_39,
9,905_61_110001,18.191478,39_126_39,
9,49_6_110100,18.140492,39_28_86_28_39,
9,49_6_010001,18.129303,39_28_86_28_39,
9,905_61_110100,18.122055,39_126_39,
9,674_6_011110,18.111641,39_28_86_28_39,
9,674_6_101110,18.087405,39_28_86_28_39,
9,121_61_010001,18.083740,39_28_86_28_39,
9,959_61_010001,18.055729,39_3_86_28_39,
9,988_6_100111,18.050051,39_28_86_28_39,
9,49_6_111011,17.999430,39_28_86_28_39,
9,959_61_110001,17.996637,39_126_39,
9,959_61_110100,17.996225,39_50_86_28_39,
9,905_6_111111,17.986159,39_28_86_28_39,
9,674_6_110001,17.965099,39_126_39,
9,988_6_110111,17.929543,39_28_86_28_39,
9,953_6_101110,17.884523,39_28_86_28_39,
9,121_61_001100,17.783030,39_28_86_28_39,
9,121_61_100000,17.671104,39_28_86_28_39,
9,905_6_000111,17.478179,39_28_86_28_39,
9,905_61_000100,17.359811,39_126_39,
9,121_793_010001,16.641805,39_28_86_28_39,
9,121_482_110001,14.824112,39_28_86_28_39,
10,121_61_101111,19.228431,39_126_39,
10,121_61_111011,19.090622,39_126_39,
10,121_61_101110,18.643448,39_126_39,
10,121_61_110011,18.631152,39_126_39,
10,959_61_110011,18.625415,39_28_86_28_39,
10,121_61_011110,18.559312,39_126_39,
10,235_61_110001,18.430225,39_126_39,
10,1208_61_110001,18.399182,39_126_39,
10,121_61_110100,18.366023,39_28_86_28_39,
10,674_6_110100,18.290472,39_28_86_28_39,
10,235_61_100101,18.269940,39_126_39,
10,959_61_010101,18.246947,39_126_39,
10,121_61_110001,18.243051,39_28_86_28_39,
10,905_61_110001,18.191478,39_126_39,
10,49_6_110100,18.140492,39_28_86_28_39,
10,49_6_010001,18.129303,39_28_86_28_39,
10,905_61_110100,18.122055,39_126_39,
10,674_6_011110,18.111641,39_28_86_28_39,
10,674_6_101110,18.087405,39_28_86_28_39,
10,49_6_010011,18.049267,39_28_86_28_39,
10,121_61_011100,18.018312,39_126_39,
10,959_61_101001,17.950472,39_126_39,
10,905_6_111011,17.799924,39_28_86_28_39,
10,121_1196_110001,17.720270,39_28_86_28_39,
10,135_6_101110,17.632054,39_28_86_28_39,
10,905_6_110100,17.623068,39_28_86_28_39,
10,121_6_110100,17.486488,39_28_86_28_39,
10,733_6_110011,17.300523,39_28_86_28_39,
10,959_6_110011,17.003699,39_28_86_28_39,
10,905_195_110100,16.632211,39_126_39,
10,959_421_010101,16.593003,39_28_86_28_39,
10,235_697_110001,16.365846,39_28_86_28_39,
11,121_61_101111,19.228431,39_126_39,
11,121_61_111011,19.090622,39_126_39,
11,121_61_101110,18.643448,39_126_39,
11,121_61_110011,18.631152,39_126_39,
11,959_61_110011,18.625415,39_28_86_28_39,
11,121_61_011110,18.559312,39_126_39,
11,235_61_110001,18.430225,39_126_39,
11,1208_61_110001,18.399182,39_126_39,
11,121_61_110100,18.366023,39_28_86_28_39,
11,674_6_110100,18.290472,39_28_86_28_39,
11,235_61_100101,18.269940,39_126_39,
11,959_61_010101,18.246947,39_126_39,
11,121_61_110001,18.243051,39_28_86_28_39,
11,905_61_110001,18.191478,39_126_39,
11,49_6_100101,18.156782,39_28_86_28_39,
11,49_6_110100,18.140492,39_28_86_28_39,
11,49_6_010001,18.129303,39_28_86_28_39,
11,121_61_000111,18.117846,39_28_86_28_39,
11,121_61_010101,18.097859,39_126_39,
11,674_6_110011,17.931500,39_28_86_28_39,
11,1208_6_110001,17.878524,39_28_86_28_39,
11,1208_6_111100,17.876460,39_28_86_28_39,
11,914_61_110100,17.873062,39_126_39,
11,121_316_010001,17.741788,39_28_86_28_39,
11,121_6_010001,17.524909,39_28_86_28_39,
11,121_6_001101,17.481935,39_28_86_28_39,
11,905_6_010001,17.361782,39_28_86_28_39,
11,121_123_110100,16.723824,39_28_86_28_39,
11,49_662_110100,16.675617,39_28_86_28_39,
11,121_201_110001,16.523432,39_28_86_28_39,
11,121_568_110001,16.316861,39_28_86_15_39,
11,121_17_101111,0.000000,bad file,
12,121_61_101111,19.228431,39_126_39,
12,121_61_111011,19.090622,39_126_39,
12,121_61_101101,18.825243,39_126_39,
12,577_61_110011,18.670070,39_126_39,
12,121_61_101110,18.643448,39_126_39,
12,121_61_110011,18.631152,39_126_39,
12,959_61_110011,18.625415,39_28_86_28_39,
12,121_61_011110,18.559312,39_126_39,
12,121_61_100110,18.506301,39_28_86_28_39,
12,24_61_010101,18.489423,39_126_39,
12,235_61_110001,18.430225,39_126_39,
12,121_61_101001,18.417400,39_28_86_28_39,
12,1208_61_110001,18.399182,39_126_39,
12,121_61_110100,18.366023,39_28_86_28_39,
12,674_6_110100,18.290472,39_28_86_28_39,
12,235_61_100101,18.269940,39_126_39,
12,959_61_010101,18.246947,39_126_39,
12,121_61_110001,18.243051,39_28_86_28_39,
12,121_40_110100,18.215623,39_28_86_28_39,
12,905_61_110001,18.191478,39_126_39,
12,235_61_110100,18.159276,39_126_39,
12,49_6_100101,18.156782,39_28_86_28_39,
12,49_6_110100,18.140492,39_28_86_28_39,
12,49_6_000011,18.136934,39_28_86_28_39,
12,49_6_101100,18.065164,39_28_86_28_39,
12,674_6_111011,18.037698,39_28_86_28_39,
12,959_61_110001,17.996637,39_126_39,
12,674_6_110011,17.931500,39_28_86_28_39,
12,121_384_110001,17.492222,39_28_86_28_39,
12,987_6_101110,17.247817,39_126_39,
12,959_6_110100,17.138714,39_28_86_28_39,
12,933_61_110100,16.513136,39_28_86_28_39,
13,121_61_101111,19.228431,39_126_39,
13,121_61_111011,19.090622,39_126_39,
13,121_61_110110,18.833971,39_126_39,
13,121_61_101101,18.825243,39_126_39,
13,235_61_110011,18.766791,39_126_39,
13,577_61_110011,18.670070,39_126_39,
13,121_61_101110,18.643448,39_126_39,
13,121_61_110011,18.631152,39_126_39,
13,959_61_110011,18.625415,39_28_86_28_39,
13,751_61_100110,18.594598,39_126_39,
13,121_61_011101,18.562816,39_126_39,
13,121_61_011110,18.559312,39_126_39,
13,121_61_100110,18.506301,39_28_86_28_39,
13,24_61_010101,18.489423,39_126_39,
13,235_61_110001,18.430225,39_126_39,
13,121_61_101001,18.417400,39_28_86_28_39,
13,1208_61_110001,18.399182,39_126_39,
13,121_61_110100,18.366023,39_28_86_28_39,
13,674_6_110100,18.290472,39_28_86_28_39,
13,235_61_100101,18.269940,39_126_39,
13,121_61_100101,18.183977,39_126_39,
13,121_61_011010,18.176120,39_126_39,
13,674_6_010111,18.089824,39_28_86_28_39,
13,674_6_110011,17.931500,39_28_86_28_39,
13,121_61_000101,17.913337,39_28_86_28_39,
13,121_600_101111,17.882376,39_28_86_28_39,
13,121_61_000110,17.868162,39_28_86_28_39,
13,121_522_101001,17.579186,39_28_86_28_39,
13,121_1169_101110,17.367613,39_126_39,
13,121_324_100110,17.323975,39_28_86_28_39,
13,235_1098_101111,17.249764,39_29_86_28_39,
13,959_984_110011,16.373913,39_28_86_28_39,
14,121_61_101111,19.228431,39_126_39,
14,121_61_111011,19.090622,39_126_39,
14,577_61_111011,18.934401,39_126_39,
14,121_61_110110,18.833971,39_126_39,
14,121_61_101101,18.825243,39_126_39,
14,577_61_110001,18.776260,39_28_86_28_39,
14,235_61_110011,18.766791,39_126_39,
14,577_61_110011,18.670070,39_126_39,
14,121_61_101110,18.643448,39_126_39,
14,121_61_110011,18.631152,39_126_39,
14,959_61_110011,18.625415,39_28_86_28_39,
14,751_61_100110,18.594598,39_126_39,
14,121_61_011101,18.562816,39_126_39,
14,121_61_011110,18.559312,39_126_39,
14,24_61_100110,18.539157,39_126_39,
14,121_61_100110,18.506301,39_28_86_28_39,
14,24_61_010101,18.489423,39_126_39,
14,235_61_100110,18.454384,39_126_39,
14,235_61_110001,18.430225,39_126_39,
14,121_61_101001,18.417400,39_28_86_28_39,
14,235_61_101001,18.355360,39_126_39,
14,959_61_000101,18.210174,39_28_86_28_39,
14,121_61_100101,18.183977,39_126_39,
14,121_61_011010,18.176120,39_126_39,
14,121_61_010101,18.097859,39_126_39,
14,959_61_110001,17.996637,39_126_39,
14,121_22_111011,17.530634,39_28_86_28_39,
14,121_61_001000,17.403977,39_28_86_28_39,
14,235_862_011110,17.037488,39_126_39,
14,235_106_110011,16.920668,39_50_86_28_39,
14,121_334_010101,16.777210,39_15_86_28_39,
14,235_730_110001,16.654295,39_28_86_28_39,
15,121_61_110111,19.327829,39_126_39,
15,121_61_101111,19.228431,39_126_39,
15,121_61_111011,19.090622,39_126_39,
15,577_61_111011,18.934401,39_126_39,
15,121_61_110110,18.833971,39_126_39,
15,121_61_101101,18.825243,39_126_39,
15,577_61_110001,18.776260,39_28_86_28_39,
15,235_61_110011,18.766791,39_126_39,
15,185_61_101101,18.718566,39_126_39,
15,577_61_110011,18.670070,39_126_39,
15,121_61_101110,18.643448,39_126_39,
15,121_61_110011,18.631152,39_126_39,
15,959_61_110011,18.625415,39_28_86_28_39,
15,751_61_100110,18.594598,39_126_39,
15,121_61_011101,18.562816,39_126_39,
15,121_61_011110,18.559312,39_126_39,
15,24_61_100110,18.539157,39_126_39,
15,121_61_100110,18.506301,39_28_86_28_39,
15,577_61_100110,18.436928,39_126_39,
15,577_61_111000,18.372207,39_28_86_28_39,
15,121_61_110001,18.243051,39_28_86_28_39,
15,121_61_101000,18.034293,39_28_86_28_39,
15,751_61_100100,17.974410,39_126_39,
15,793_61_100110,17.808111,39_28_86_28_39,
15,577_61_001010,17.804844,39_126_39,
15,121_61_001010,17.782728,39_28_86_28_39,
15,121_61_100000,17.671104,39_28_86_28_39,
15,121_519_110110,17.488561,39_28_86_28_39,
15,751_234_110011,17.371879,39_28_86_28_39,
15,24_1091_100110,17.336790,39_28_86_28_39,
15,121_106_110011,17.156371,39_28_86_28_39,
15,959_713_100110,17.008925,39_28_86_28_39,
16,121_61_110111,19.327829,39_126_39,
16,121_61_101111,19.228431,39_126_39,
16,121_61_111011,19.090622,39_126_39,
16,577_61_111011,18.934401,39_126_39,
16,121_61_110110,18.833971,39_126_39,
16,121_61_101101,18.825243,39_126_39,
16,577_61_110001,18.776260,39_28_86_28_39,
16,235_61_110011,18.766791,39_126_39,
16,185_61_101101,18.718566,39_126_39,
16,577_61_110011,18.670070,39_126_39,
16,121_61_101110,18.643448,39_126_39,
16,121_61_110011,18.631152,39_126_39,
16,959_61_110011,18.625415,39_28_86_28_39,
16,751_61_100110,18.594598,39_126_39,
16,121_61_011101,18.562816,39_126_39,
16,751_61_110001,18.562742,39_126_39,
16,121_61_011110,18.559312,39_126_39,
16,121_61_111001,18.535564,39_126_39,
16,121_61_100110,18.506301,39_28_86_28_39,
16,121_61_010111,18.500022,39_126_39,
16,121_61_011011,18.461934,39_126_39,
16,577_61_000111,18.387430,39_28_86_28_39,
16,121_61_111000,18.324554,39_28_86_28_39,
16,577_61_101100,18.228242,39_126_39,
16,121_61_100101,18.183977,39_126_39,
16,577_61_100001,18.177063,39_28_86_28_39,
16,121_61_100010,17.951159,39_28_86_28_39,
16,959_61_101000,17.722025,39_3_86_28_39,
16,577_1129_110011,16.594588,39_3_86_28_39,
16,121_783_101101,16.524659,39_126_39,
16,121_979_101110,15.480163,39_28_86_15_39,
16,959_847_110011,0.000000,bad file,
17,121_61_110111,19.327829,39_126_39,
17,121_61_101111,19.228431,39_126_39,
17,824_61_111011,19.192919,39_126_39,
17,121_61_111011,19.090622,39_126_39,
17,577_61_111011,18.934401,39_126_39,
17,751_61_110011,18.879817,39_126_39,
17,121_61_110110,18.833971,39_126_39,
17,121_61_101101,18.825243,39_126_39,
17,577_61_110001,18.776260,39_28_86_28_39,
17,235_61_110011,18.766791,39_126_39,
17,185_61_101101,18.718566,39_126_39,
17,577_61_110011,18.670070,39_126_39,
17,121_61_101110,18.643448,39_126_39,
17,121_61_110101,18.635988,39_126_39,
17,121_61_110011,18.631152,39_126_39,
17,959_61_110011,18.625415,39_28_86_28_39,
17,751_61_100110,18.594598,39_126_39,
17,121_61_011101,18.562816,39_126_39,
17,751_61_110001,18.562742,39_126_39,
17,185_61_000111,18.365139,39_28_86_28_39,
17,577_61_011001,18.346099,39_126_39,
17,121_61_110001,18.243051,39_28_86_28_39,
17,121_61_100001,18.105326,39_28_86_28_39,
17,121_61_010100,17.796451,39_28_86_28_39,
17,121_101_110001,17.675427,39_28_86_28_39,
17,121_861_101111,17.494816,39_28_86_28_39,
17,121_61_010000,17.391372,39_28_86_28_39,
17,751_356_100110,17.017716,39_15_86_28_39,
17,751_53_111011,16.958789,39_28_86_28_39,
17,121_330_111011,16.844404,39_126_39,
17,121_225_101111,16.241768,39_126_39,
17,121_133_101101,15.622061,39_3_86_28_39,
18,121_61_110111,19.327829,39_126_39,
18,121_61_101111,19.228431,39_126_39,
18,824_61_111011,19.192919,39_126_39,
18,121_61_111011,19.090622,39_126_39,
18,577_61_111011,18.934401,39_126_39,
18,751_61_110011,18.879817,39_126_39,
18,121_61_110110,18.833971,39_126_39,
18,121_61_101101,18.825243,39_126_39,
18,577_61_110001,18.776260,39_28_86_28_39,
18,235_61_110011,18.766791,39_126_39,
18,185_61_101101,18.718566,39_126_39,
18,577_61_110011,18.670070,39_126_39,
18,34_61_111011,18.665173,39_3_86_28_39,
18,185_61_110011,18.663992,39_126_39,
18,121_61_101110,18.643448,39_126_39,
18,121_61_110101,18.635988,39_126_39,
18,121_61_110011,18.631152,39_126_39,
18,959_61_110011,18.625415,39_28_86_28_39,
18,121_61_111010,18.503183,39_126_39,
18,121_61_110001,18.243051,39_28_86_28_39,
18,959_61_100110,18.054729,39_126_39,
18,577_61_101000,17.898845,39_28_86_28_39,
18,577_61_000110,17.790269,39_126_39,
18,185_872_110001,17.735935,39_28_86_28_39,
18,751_61_010000,17.691221,39_28_86_15_39,
18,959_61_100100,17.575605,39_28_86_28_39,
18,959_61_001001,17.473743,39_3_86_28_39,
18,121_472_110001,17.465847,39_28_86_28_39,
18,235_61_010000,17.418969,39_29_86_28_39,
18,121_495_110101,16.900092,39_3_86_28_39,
18,577_1059_110001,16.883243,39_28_86_28_39,
18,121_829_101110,16.343357,39_3_86_28_39,
19,121_61_110111,19.327829,39_126_39,
19,121_61_101111,19.228431,39_126_39,
19,824_61_111011,19.192919,39_126_39,
19,121_61_111011,19.090622,39_126_39,
19,577_61_111011,18.934401,39_126_39,
19,235_61_111101,18.925668,39_126_39,
19,751_61_110011,18.879817,39_126_39,
19,1118_61_101101,18.845901,39_126_39,
19,121_61_110110,18.833971,39_126_39,
19,121_61_101101,18.825243,39_126_39,
19,577_61_110001,18.776260,39_28_86_28_39,
19,235_61_110011,18.766791,39_126_39,
19,185_61_101101,18.718566,39_126_39,
19,185_61_110101,18.716432,39_126_39,
19,577_61_110011,18.670070,39_126_39,
19,34_61_111011,18.665173,39_3_86_28_39,
19,185_61_110011,18.663992,39_126_39,
