,AorD,HOMO,LUMO,optbg,wavelength_film,wavelength_soln,sTDDFT_HOMO,sTDDFT_LUMO,sTDDFT_optbg,sTDDFT_max_abs,sTDDFT_total_mins,sTDA_HOMO,sTDA_LUMO,sTDA_optbg,sTDA_max_abs,sTDA_total_mins,sTDA-xTB_HOMO,sTDA-xTB_LUMO,sTDA-xTB_optbg,sTDA-xTB_max_abs,sTDDFT-xTB_HOMO,sTDDFT-xTB_LUMO,sTDDFT-xTB_optbg,sTDDFT-xTB_max_abs,GFN2_HOMO,GFN2_LUMO,xtb_vipea_HOMO,xtb_vipea_LUMO
BTA43,A,-5.44,-3.47,1.78,644.0,600.0,-6.99,-1.74,2.36,524.7,23.55,-6.99,-1.74,2.39,519.3,33.283,-13.692,-8.785,2.56,483.7,-13.692,-8.785,2.54,488.4,-9.9071,-8.8611,4.7194,2.3072
BTA5,A,-5.55,-3.71,,,,,,,,,,,,,,,,,,,,,,,,,
BTA53,A,-5.48,-3.58,1.68,690.0,607.0,-7.04,-1.77,2.4,516.7,22.867,-7.04,-1.77,2.42,511.5,22.833,-13.605,-8.821,2.52,492.0,-13.605,-8.821,2.5,496.6,-9.846,-8.8973,5.059,2.3947
BTA7,A,-5.56,-3.66,,,,,,,,,,,,,,,,,,,,,,,,,
BT-BIC,A,-5.46,-3.73,1.52,748.0,688.0,-7.15,-1.91,2.41,515.5,12.833,-7.15,-1.91,2.43,510.7,13.35,-13.577,-8.961,2.52,492.7,-13.577,-8.961,2.47,501.3,-10.0806,-8.9835,3.9029,1.5184
BT-BO-L4F,A,-5.58,-3.98,1.32,837.0,762.0,-7.31,-2.2,2.31,536.7,13.45,-7.31,-2.2,2.34,530.3,13.5,-13.733,-9.122,2.37,522.2,-13.733,-9.122,2.31,535.7,-10.3555,-9.3135,4.6119,2.3658
BTC6-0F,A,-5.47,-3.71,1.48,685.0,711.0,-7.15,-2.06,2.18,569.0,17.217,-7.15,-2.06,2.2,562.5,17.167,-13.737,-9.037,2.43,510.9,-13.737,-9.037,2.39,519.3,-10.1019,-9.0814,3.591,1.787
BTC6-2F,A,-5.52,-3.8,1.44,700.0,720.0,-7.22,-2.17,2.17,572.1,13.267,-7.22,-2.17,2.19,565.3,17.267,-13.805,-9.131,2.42,511.2,-13.805,-9.131,2.39,519.7,-10.2258,-9.2295,4.0203,2.119
BTC6-4F,A,-5.56,-3.86,1.43,781.0,724.0,-7.26,-2.25,2.14,579.1,13.217,-7.26,-2.25,2.17,571.5,11.867,-13.86,-9.213,2.42,511.8,-13.86,-9.213,2.38,520.9,-10.33,-9.3646,,
BTCIC,A,-5.53,-4.0,1.36,723.0,734.0,-7.17,-2.21,2.02,615.1,10.983,-7.17,-2.21,2.05,604.9,11.217,-13.666,-9.027,2.4,516.6,-13.666,-9.027,2.36,524.8,-10.1087,-9.1647,4.5294,2.2392
