,AorD,HOMO,LUMO,optbg,wavelength_film,wavelength_soln,HOMO,LUMO,optbg,max_abs,total_mins,sTDA_HOMO,sTDA_LUMO,sTDA_optbg,sTDA_max_abs,sTDA_total_mins
CBM,A,-6.05,-4.13,2.02,547.0,497.0,-8.12,-2.15,2.85,434.7,3.933,-8.12,-2.15,2.85,434.7,3.933
CDTBM,A,-5.69,-4.28,1.45,701.0,681.0,,,,,,,,,,
CH1007,A,-5.59,-3.97,,,,,,,,,,,,,
CH3-2F,A,-5.59,-4.01,1.42,775.0,734.0,-7.17,-2.13,2.27,546.4,18.25,-7.17,-2.13,2.27,546.4,18.25
Cl-ITIC,A,-5.7,-4.14,,,,,,,,,,,,,
CNDTBT-C8IDT-FINCN,A,-5.58,-3.92,1.4,766.0,692.0,-7.12,-2.32,2.02,612.6,39.2,-7.12,-2.32,2.02,612.6,39.2
CNDTBT-C8IDT-INCN,A,-5.54,-3.82,1.48,715.0,680.0,,,,,,,,,,
CNDTBT-IDTT-FINCN,A,-5.56,-3.98,1.58,726.0,699.0,,,,,,,,,,
COi6DFIC,A,-5.64,-4.04,1.31,824.0,769.0,-7.49,-2.26,2.28,543.0,19.0,-7.49,-2.26,2.28,543.0,19.0
COi6FIC,A,-5.6,-3.93,1.34,815.0,764.0,,,,,,,,,,
COi6IC,A,-5.57,-3.86,1.37,795.0,755.0,-7.27,-2.07,2.24,554.4,16.767,-7.27,-2.07,2.24,554.4,16.767
Coi8DFIC,A,-5.51,-4.04,1.26,,,,,,,,,,,,
CPDT-4Cl,A,-5.29,-3.93,1.3,858.0,786.0,-7.31,-2.32,2.05,604.9,9.733,-7.31,-2.32,2.05,604.9,9.733
CPDT-4F,A,-5.26,-3.87,1.31,847.0,776.0,,,,,,,,,,
CPIC-1,A,-5.61,-3.62,1.45,642.0,674.0,,,,,,,,,,
CPIC-2,A,-5.3,-3.52,1.31,742.0,764.0,,,,,,,,,,
CPIC-3,A,-5.2,-3.48,1.24,819.0,780.0,-6.9,-2.1,2.0,619.8,13.717,-6.9,-2.1,2.0,619.8,13.717
CRIC,A,-5.44,-3.82,1.53,,,,,,,,,,,,
CRIC-4F,A,-5.67,-3.9,,,,,,,,,,,,,
CSeT-IC,A,-5.6,-3.91,1.58,712.0,690.0,,,,,,,,,,
CTSe-IC,A,-5.55,-3.9,1.56,725.0,697.0,-7.42,-1.86,2.63,471.0,18.433,-7.42,-1.86,2.63,471.0,18.433
Cz-RH,A,-5.53,-3.5,2.05,,,,,,,,,,,,
CZTT-4F,A,-5.61,-4.11,1.48,737.0,706.0,,,,,,,,,,
CZTT-IC,A,-5.54,-3.97,1.56,700.0,684.0,-7.22,-1.86,2.59,478.0,20.283,-7.22,-1.86,2.59,478.0,20.283
D18,D,-5.51,-2.77,,,,,,,,,,,,,
DBD-4F,A,-5.55,-3.74,1.38,816.0,731.0,,,,,,,,,,
DBT-4F,A,-5.67,-3.87,1.43,789.0,703.0,,,,,,,,,,
