gen,max_abs,min_abs,med_abs,min_overlap,max_overlap,med_overlap,min_score,med_score,max_score
76,794.6873842935648,771.2147885601454,932.9667496633441,616.1690025851215,441.43669950703776,631.5077842408828,155.04578597502393,301.45896542246135,353.2506847865271
77,794.6873842935648,891.9878819603238,932.9667496633441,740.0660268142227,441.43669950703776,631.5077842408828,151.92185514610105,301.45896542246135,353.2506847865271
78,794.6873842935648,1001.1396055533885,932.9667496633441,869.9456953327148,441.43669950703776,631.5077842408828,131.19391022067373,301.45896542246135,353.2506847865271
79,794.6873842935648,900.7024695408037,932.9667496633441,791.1588702625558,441.43669950703776,631.5077842408828,109.54359927824794,301.45896542246135,353.2506847865271
80,794.6873842935648,887.6865147048524,932.9667496633441,757.7799923467278,441.43669950703776,631.5077842408828,129.90652235812456,301.45896542246135,353.2506847865271
81,794.6873842935648,927.231451137841,932.9667496633441,770.3447057000742,441.43669950703776,631.5077842408828,156.88674543776676,301.45896542246135,353.2506847865271
82,794.6873842935648,948.7768834477298,932.9667496633441,900.184824662635,441.43669950703776,631.5077842408828,48.592058785094764,301.45896542246135,353.2506847865271
83,794.6873842935648,965.8830370011704,862.7812749017066,842.3954215184262,441.43669950703776,560.170894231865,123.4876154827441,302.6103806698417,353.2506847865271
84,794.6873842935648,917.811037780953,862.7812749017066,845.8626147310756,441.43669950703776,560.170894231865,71.94842304987742,302.6103806698417,353.2506847865271
85,794.6873842935648,825.318951770453,862.7812749017066,707.1859037949586,441.43669950703776,560.170894231865,118.13304797549449,302.6103806698417,353.2506847865271
