gen,pair,combined_abs,overlap,score
6,"[213, 735]",389.4382696798276,172.68545503468036,216.75281464514725
6,"[158, 810]",362.1945329655096,148.19627083891345,213.99826212659616
6,"[219, 234]",406.7339086226672,195.95764239789085,210.77626622477632
7,"[984, 881]",505.42021976248935,169.15811732378234,336.262102438707
7,"[102, 881]",463.9943211808677,163.75717399839792,300.2371471824698
7,"[896, 881]",436.26362726904415,136.85073684782665,299.4128904212175
7,"[213, 881]",460.53938684715916,166.0201425224044,294.51924432475477
7,"[380, 881]",453.44040721419964,159.22864437976745,294.2117628344322
7,"[456, 881]",450.99981373420843,160.82905132486857,290.1707624093399
7,"[8, 881]",457.07544424490305,169.96166575129732,287.11377849360576
7,"[984, 202]",519.7152837671856,233.28534401766632,286.4299397495193
7,"[532, 881]",473.0915528513117,186.68573138993517,286.4058214613765
7,"[896, 202]",450.5586912737406,164.5022147833022,286.0564764904384
7,"[984, 234]",451.09107048584275,166.97440141459123,284.1166690712515
7,"[423, 881]",433.5459573157845,150.0884625052808,283.4574948105037
7,"[456, 378]",446.30120193280334,162.99810824756062,283.30309368524274
7,"[984, 807]",453.7907800683812,170.58012585261002,283.21065421577117
7,"[984, 547]",431.2732709151699,150.66847477893694,280.60479613623295
7,"[838, 881]",446.02864219148256,167.60447944659742,278.42416274488517
7,"[624, 854]",412.97192802676614,137.622091589843,275.34983643692317
7,"[742, 881]",406.3801355488245,132.44958611941271,273.9305494294118
7,"[380, 378]",448.7417954127946,182.38316174091617,266.35863367187847
7,"[456, 202]",465.29487773890486,199.78625816416564,265.5086195747392
7,"[964, 202]",439.1305378510166,173.65512662998145,265.47541122103513
7,"[689, 881]",477.8903622903205,214.20327723088207,263.68708505943846
7,"[456, 234]",396.6706644575619,139.59590256891317,257.0747618886487
7,"[102, 111]",417.3036579261225,162.2313015317248,255.07235639439773
7,"[364, 378]",372.5218806998931,129.7016375274818,242.82024317241127
7,"[456, 547]",376.85286488688917,135.15579864659534,241.69706624029382
7,"[456, 779]",372.7583871813364,132.8738796170116,239.8845075643248
7,"[8, 234]",402.74629496825656,164.42806695196288,238.3182280162937
7,"[380, 547]",379.2934583668804,143.18510187832436,236.108356488556
7,"[742, 202]",420.67519955352105,186.91956061278506,233.755638940736
7,"[838, 824]",408.75474473862624,181.29142588405244,227.4633188545738
7,"[213, 316]",445.01920304383606,230.62150134746412,214.39770169637194
8,"[984, 881]",505.42021976248935,169.15811732378234,336.262102438707
8,"[102, 881]",463.9943211808677,163.75717399839792,300.2371471824698
8,"[896, 881]",436.26362726904415,136.85073684782665,299.4128904212175
8,"[213, 881]",460.53938684715916,166.0201425224044,294.51924432475477
8,"[380, 881]",453.44040721419964,159.22864437976745,294.2117628344322
8,"[456, 881]",450.99981373420843,160.82905132486857,290.1707624093399
8,"[8, 881]",457.07544424490305,169.96166575129732,287.11377849360576
8,"[984, 202]",519.7152837671856,233.28534401766632,286.4299397495193
8,"[532, 881]",473.0915528513117,186.68573138993517,286.4058214613765
8,"[896, 202]",450.5586912737406,164.5022147833022,286.0564764904384
8,"[465, 881]",435.3785258352775,149.6049942147321,285.77353162054544
8,"[984, 209]",509.62702992452364,224.24819254243135,285.3788373820923
8,"[984, 234]",451.09107048584275,166.97440141459123,284.1166690712515
8,"[423, 881]",433.5459573157845,150.0884625052808,283.4574948105037
8,"[456, 378]",446.30120193280334,162.99810824756062,283.30309368524274
8,"[984, 807]",453.7907800683812,170.58012585261002,283.21065421577117
8,"[984, 547]",431.2732709151699,150.66847477893694,280.60479613623295
8,"[838, 881]",446.02864219148256,167.60447944659742,278.42416274488517
8,"[501, 881]",404.6957531663715,135.72172058863265,268.97403257773885
8,"[925, 881]",420.2005000592936,155.44013538554614,264.7603646737474
8,"[896, 547]",362.1166784217249,105.81729205824784,256.299386363477
8,"[456, 807]",399.37037404010033,143.63522329359168,255.73515074650865
8,"[213, 202]",474.83445085185554,220.92842866211492,253.9060221897406
8,"[380, 807]",401.8109675200916,156.42010271103698,245.39086480905462
8,"[532, 202]",487.3866168560081,242.99966736910238,244.38694948690573
8,"[299, 202]",455.3979936530009,213.52602937377924,241.8719642792217
8,"[596, 234]",418.8657804720869,178.6446198525786,240.2211606195083
8,"[793, 234]",381.82583386359744,142.72198690214267,239.10384696145476
8,"[838, 202]",460.323706196179,226.51948092183386,233.80422527434513
